timestamp,event_type,details
Mon Apr 27 11:29:53 2026,run_start,"map:BasicArena,run:115"
Mon Apr 27 11:30:13 2026,Obstacle_Detected,Forward obstacle at 3.71 m
Mon Apr 27 11:30:13 2026,avoidance_start,"zones: {'forward': 3.7073844775199127, 'backward': 48.7916297232107, 'right': 2.0844950309271386, 'left': 2.088077070820913, 'above': 1.9669893386753055, 'below': 1.9669893386753055}"
Mon Apr 27 11:42:58 2026,run_start,"map:BasicArena,run:115"
Tue Apr 28 15:48:32 2026,run_start,"map:BasicArena,run:115"
Tue Apr 28 16:15:18 2026,run_start,"map:ClassRoom,run:115"
Wed Apr 29 16:11:32 2026,run_start,"map:ClassRoom,run:115"
Wed Apr 29 16:11:48 2026,Disconnect Error,Failed to land drone: 'Drone' object has no attribute 'land' 
Wed Apr 29 16:20:48 2026,Disconnect Error,Failed to land drone: 'Drone' object has no attribute 'land' 
Wed Apr 29 16:20:48 2026,Disconnect Error,Error Disarming drone: Object closed
